babirussa
tabby
tachina
tadpole
taguan
taha
tahaleb
talapoin
talbot
talegalla
tamandu
tamanoir
tamarin
tamias
tampan
tanager
tanate
tanglefish
tapayaxin
tapeti
tapeworm
tapir
tarantula
tardigrade
tarente
tarentula
tarpum
tarrier
tarrock
tarse
tarsel
tarsius
tataupa
tatou
tatouay
taurus
tautog
taxicorn
tayra
tchawytcha
teetee
teeter-tail
teg
teledu
teleosaur
teleostean
tench
tendrac
tenrec
tercelet
tercellene
teredo
termes
termite
terrapin
terrienniak
terrier
terutero
tetard
tetel
tetraonid
tetrapteran
tettix
thalassian
thalassinian
thamyn
thecla
thecodactyl
thecodont
thickbill
thornback
thornbill
thornbird
thorntail
thoroughbred
threadfish
threadworm
thumbbird
thunderbird
thunderfish
thunderworm
thylacine
thysanopter
thysanopteran
tib-cat
tick
ticpolonga
tidife
tiger
tigress
tilefish
tillodont
tineid
tipula
titlark
titmouse
tittimouse
toad
toadeater
toadfish
toadlet
tocororo
tod
tody
tomcat
tomcod
tomnoddy
tomopteris
tomtit
tongue-shell
tonguebird
tonguefish
tongueworm
tonnihood
toothbill
top-shell
torrock
torsk
tortoise
tortrix
toucan
toupettit
treadfowl
trichina
tridacna
trilobite
tristoma
trochil
trochilus
trochus
trogon
troopbird
troopfowl
troupial
trout
troutbird
troutlet
troutling
trubtall
trubu
trunkfish
trygon
tschego
tsetse
tubeworm
tubfish
tucan
tuko-tuko
tullibee
tunny
turatt
turbit
turbot
turkey
turkle
turnix
turnstone
turtle
turtledove
twagger
twinter
twite
umhofo
upupa
urchin
urchon
urubu
urva
vaagmer
waggel
waggie
wallwort
walrus
wanderoo
wapacut
warbler
warine
warsaw
wattlebird
waxbill
waxwing
waybung
wayz-goose
weanling
weathercock
wedgebill
weesel
weet-bird
weet-weet
weezel
weka
wekau
wetbird
wether
whale
wheatbird
wheatear
wheelbird
whelp
whetile
whinchat
whinock
whistlefish
whitebelly
whitebill
whitetail
whitewing
whittret
wingfish
winkle
winnard 2
wistit
witfish
wolfkin
wolfling
wolverene
wolverine
wombat
woodchuck
woodcock
woodpeck
woodpecker
woodworm
woofell
woolert
woolgrower
woolhead
worm
wormling
wrasse
wreckfish
wren
wriggler
wurbagool
wurraluh
wyla
wynkernel
xylophagan
xylophilan
yacare
yak
yakin
yapock
yeanling
yearling
yeel
yellowbill
yellowbird
yellowfin
yellowfish
yellowhammer
yellowthroat
ynambu
yockel
yoit
yowe
yuen
zeekoe
zemni
zibeth
zoophagan
